agent_name,agent_slug,project_path,global_path
"AiderDesk","aider-desk",".aider-desk/skills/","~/.aider-desk/skills/"
"Amp, Replit, Universal","amp",".agents/skills/","~/.config/agents/skills/"
"Antigravity","antigravity",".agents/skills/","~/.gemini/antigravity/skills/"
"Antigravity CLI","antigravity-cli",".agents/skills/","~/.gemini/antigravity-cli/skills/"
"AstrBot","astrbot","data/skills/","~/.astrbot/data/skills/"
"Autohand Code CLI","autohand-code",".autohand/skills/","~/.autohand/skills/"
"Augment","augment",".augment/skills/","~/.augment/skills/"
"IBM Bob","bob",".bob/skills/","~/.bob/skills/"
"Claude Code","claude-code",".claude/skills/","~/.claude/skills/"
"OpenClaw","openclaw","skills/","~/.openclaw/skills/"
"Cline, Dexto, Kimi Code CLI, Loaf, Warp, Zed","cline",".agents/skills/","~/.agents/skills/"
"CodeArts Agent","codearts-agent",".codeartsdoer/skills/","~/.codeartsdoer/skills/"
"CodeBuddy","codebuddy",".codebuddy/skills/","~/.codebuddy/skills/"
"Codemaker","codemaker",".codemaker/skills/","~/.codemaker/skills/"
"Code Studio","codestudio",".codestudio/skills/","~/.codestudio/skills/"
"Codex","codex",".agents/skills/","~/.codex/skills/"
"Codex Plugins","codex-plugins",".codex/plugins/cache/","~/.codex/plugins/cache/"
"Command Code","command-code",".commandcode/skills/","~/.commandcode/skills/"
"Continue","continue",".continue/skills/","~/.continue/skills/"
"Cortex Code","cortex",".cortex/skills/","~/.snowflake/cortex/skills/"
"Crush","crush",".crush/skills/","~/.config/crush/skills/"
"Cursor","cursor",".agents/skills/","~/.cursor/skills/"
"Deep Agents","deepagents",".agents/skills/","~/.deepagents/agent/skills/"
"Devin for Terminal","devin",".devin/skills/","~/.config/devin/skills/"
"Droid","droid",".factory/skills/","~/.factory/skills/"
"Firebender","firebender",".agents/skills/","~/.firebender/skills/"
"ForgeCode","forgecode",".forge/skills/","~/.forge/skills/"
"Gemini CLI","gemini-cli",".agents/skills/","~/.gemini/skills/"
"GitHub Copilot","github-copilot",".agents/skills/","~/.copilot/skills/"
"Goose","goose",".goose/skills/","~/.config/goose/skills/"
"Hermes Agent","hermes-agent",".hermes/skills/","~/.hermes/skills/"
"inference.sh","inference-sh",".inferencesh/skills/","~/.inferencesh/skills/"
"Jazz","jazz",".jazz/skills/","~/.jazz/skills/"
"Junie","junie",".junie/skills/","~/.junie/skills/"
"iFlow CLI","iflow-cli",".iflow/skills/","~/.iflow/skills/"
"Kilo Code","kilo",".kilocode/skills/","~/.kilocode/skills/"
"Kiro CLI","kiro-cli",".kiro/skills/","~/.kiro/skills/"
"Kode","kode",".kode/skills/","~/.kode/skills/"
"Lingma","lingma",".lingma/skills/","~/.lingma/skills/"
"MCPJam","mcpjam",".mcpjam/skills/","~/.mcpjam/skills/"
"Mistral Vibe","mistral-vibe",".vibe/skills/","~/.vibe/skills/"
"Moxby","moxby",".moxby/skills/","~/.moxby/skills/"
"Mux","mux",".mux/skills/","~/.mux/skills/"
"OpenCode","opencode",".agents/skills/","~/.config/opencode/skills/"
"OpenHands","openhands",".openhands/skills/","~/.openhands/skills/"
"Ona","ona",".ona/skills/","~/.ona/skills/"
"Pi","pi",".pi/skills/","~/.pi/agent/skills/"
"Qoder","qoder",".qoder/skills/","~/.qoder/skills/"
"Qoder CN","qoder-cn",".qoder/skills/","~/.qoder-cn/skills/"
"Qwen Code","qwen-code",".qwen/skills/","~/.qwen/skills/"
"Reasonix","reasonix",".reasonix/skills/","~/.reasonix/skills/"
"Rovo Dev","rovodev",".rovodev/skills/","~/.rovodev/skills/"
"Roo Code","roo",".roo/skills/","~/.roo/skills/"
"Tabnine CLI","tabnine-cli",".tabnine/agent/skills/","~/.tabnine/agent/skills/"
"Terramind","terramind",".terramind/skills/","~/.terramind/skills/"
"Tinycloud","tinycloud",".tinycloud/skills/","~/.tinycloud/skills/"
"Trae","trae",".trae/skills/","~/.trae/skills/"
"Trae CN","trae-cn",".trae/skills/","~/.trae-cn/skills/"
"Windsurf","windsurf",".windsurf/skills/","~/.codeium/windsurf/skills/"
"Workbuddy Marketplace","workbuddy-marketplace",".workbuddy/skills-marketplace/skills/","~/.workbuddy/skills-marketplace/skills/"
"Zencoder, Zenflow","zencoder",".zencoder/skills/","~/.zencoder/skills/"
"Neovate","neovate",".neovate/skills/","~/.neovate/skills/"
"Pochi","pochi",".pochi/skills/","~/.pochi/skills/"
"AdaL","adal",".adal/skills/","~/.adal/skills/"
